<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	04:59:00	0.90513	0.90514	0.90503	0.90506	21	0	18
2025.01.02	05:00:00	0.90503	0.90510	0.90503	0.90507	14	0	19
2025.01.02	05:01:00	0.90507	0.90510	0.90501	0.90502	14	0	19
2025.01.02	05:02:00	0.90502	0.90502	0.90488	0.90488	16	0	19
2025.01.02	05:03:00	0.90488	0.90492	0.90487	0.90491	11	0	19
2025.01.02	05:04:00	0.90491	0.90500	0.90491	0.90499	13	0	19
2025.01.02	05:05:00	0.90499	0.90502	0.90497	0.90502	12	0	18
2025.01.02	05:06:00	0.90497	0.90497	0.90492	0.90497	20	0	18
2025.01.02	05:07:00	0.90497	0.90497	0.90489	0.90491	14	0	17
2025.01.02	05:08:00	0.90491	0.90494	0.90491	0.90492	10	0	16
2025.01.02	05:09:00	0.90492	0.90492	0.90477	0.90479	15	0	16
2025.01.02	05:10:00	0.90477	0.90480	0.90477	0.90479	9	0	17
2025.01.02	05:11:00	0.90479	0.90490	0.90479	0.90487	21	0	16
2025.01.02	05:12:00	0.90487	0.90490	0.90485	0.90488	11	0	18
2025.01.02	05:13:00	0.90488	0.90491	0.90488	0.90491	10	0	16
2025.01.02	05:14:00	0.90491	0.90492	0.90488	0.90490	8	0	15
2025.01.02	05:15:00	0.90490	0.90495	0.90488	0.90494	23	0	15
2025.01.02	05:16:00	0.90494	0.90495	0.90484	0.90492	27	0	17
2025.01.02	05:17:00	0.90492	0.90498	0.90492	0.90498	17	0	19
2025.01.02	05:18:00	0.90498	0.90500	0.90495	0.90496	10	0	19
2025.01.02	05:19:00	0.90496	0.90496	0.90485	0.90486	11	0	19
2025.01.02	05:20:00	0.90486	0.90486	0.90485	0.90486	3	0	18
2025.01.02	05:21:00	0.90486	0.90486	0.90484	0.90485	6	0	15
2025.01.02	05:22:00	0.90485	0.90488	0.90485	0.90488	4	0	14
2025.01.02	05:23:00	0.90488	0.90488	0.90486	0.90486	2	0	14
2025.01.02	05:24:00	0.90486	0.90486	0.90481	0.90481	5	0	14
2025.01.02	05:25:00	0.90480	0.90480	0.90475	0.90479	11	0	14
2025.01.02	05:26:00	0.90479	0.90484	0.90479	0.90480	7	0	14
2025.01.02	05:27:00	0.90480	0.90481	0.90475	0.90479	18	0	15
2025.01.02	05:28:00	0.90480	0.90481	0.90479	0.90480	10	0	14
2025.01.02	05:29:00	0.90480	0.90480	0.90479	0.90480	3	0	14
2025.01.02	05:30:00	0.90480	0.90481	0.90477	0.90479	18	0	14
2025.01.02	05:31:00	0.90479	0.90482	0.90475	0.90475	14	0	14
2025.01.02	05:32:00	0.90475	0.90477	0.90475	0.90477	5	0	16
2025.01.02	05:33:00	0.90477	0.90480	0.90457	0.90459	21	0	16
2025.01.02	05:34:00	0.90459	0.90461	0.90458	0.90460	6	0	19
2025.01.02	05:35:00	0.90460	0.90464	0.90459	0.90463	10	0	19
2025.01.02	05:36:00	0.90463	0.90474	0.90463	0.90474	14	0	19
2025.01.02	05:37:00	0.90474	0.90480	0.90473	0.90473	20	0	19
2025.01.02	05:38:00	0.90472	0.90476	0.90471	0.90471	13	0	19
2025.01.02	05:39:00	0.90471	0.90473	0.90471	0.90473	7	0	18
2025.01.02	05:40:00	0.90473	0.90475	0.90473	0.90475	5	0	14
2025.01.02	05:41:00	0.90475	0.90482	0.90472	0.90473	11	0	14
2025.01.02	05:42:00	0.90473	0.90474	0.90470	0.90474	11	0	16
2025.01.02	05:43:00	0.90474	0.90478	0.90474	0.90477	20	0	15
2025.01.02	05:44:00	0.90477	0.90478	0.90469	0.90470	10	0	14
2025.01.02	05:45:00	0.90470	0.90471	0.90470	0.90471	2	0	14
2025.01.02	05:46:00	0.90471	0.90471	0.90467	0.90468	8	0	14
2025.01.02	05:47:00	0.90468	0.90471	0.90468	0.90470	5	0	14
2025.01.02	05:48:00	0.90470	0.90473	0.90470	0.90471	9	0	14
2025.01.02	05:49:00	0.90472	0.90477	0.90472	0.90477	18	0	14
2025.01.02	05:50:00	0.90477	0.90490	0.90476	0.90488	14	0	14
2025.01.02	05:51:00	0.90486	0.90487	0.90484	0.90484	5	0	19
